股票代码	股票名称	当前价	涨跌额	涨跌幅(%)	年初至今(%)	成交量(万)	成交额(亿)	换手率(%)	市盈率(TTM)	股息率(%)	市值(亿)
SH688119	中钢洛耐	6.61	-0.08	-1.20%	4.92%	2032.7482	0.32	1.94%	33.33	1.815	74.3625
SH688337	普源精电	57.5	-0.7	-1.20%	-12.16%	5358.3251	1.27	2.14%	92.707	0.823	103.2344305
SH688767	博拓生物	32.29	-0.4	-1.22%	-30.11%	1168.2712	0.68	0.92%	11.754	6.813	34.44266677
SH688571	杭华股份	7.94	-0.1	-1.24%	13.59%	1438.9444	1.06	0.97%	30.334	2.015	25.408
SH688087	英科再生	32.34	-0.41	-1.25%	-6.94%	2048.4664	0.87	0.88%	22.511	0.618	43.53856358
SH688323	瑞华泰	20.46	-0.26	-1.25%	-13.96%	1131.8305	0.59	0.56%	193.949	0.342	36.82801964
SH688267	中触媒	23.17	-0.3	-1.28%	-37.45%	2104.9875	0.69	1.42%	33.886	1.122	40.82554
SH688152	麒麟信安	172.72	-2.27	-1.30%	1.06%	3727.6498	0.56	1.82%	68.873	0.284	91.27340729
SH688103	国力股份	55	-0.73	-1.31%	-14.52%	12288.607	1.29	3.68%	61.876	0.5	52.4645
SH688699	明微电子	53.71	-0.72	-1.32%	17.04%	7358.633	0.86	2.60%	亏损	1.862	59.11571814
SH688169	石头科技	314.58	-4.22	-1.32%	26.97%	8116.0813	0.51	0.33%	28.207	0.404	294.7350856
SH688007	光峰科技	20.97	-0.28	-1.32%	-15.65%	5200.8621	0.74	0.54%	83.181	0.258	95.85545072
SH688468	科美诊断	10.29	-0.14	-1.34%	8.66%	2536.0353	1.27	0.89%	27.814	3.372	41.2629
SH688184	帕瓦股份	31.53	-0.43	-1.35%	-9.21%	860.5675	0.93	0.95%	40.41	1.047	42.36945529
SH688733	壹石通	30.92	-0.43	-1.37%	-17.92%	3134.1257	0.68	0.74%	53.243	0.647	61.77048875
SH688353	华盛锂电	38.47	-0.54	-1.38%	-12.24%	2090.878	0.9	1.41%	51.716	1.794	61.35965
SH688290	景业智能	62.25	-0.89	-1.41%	4.27%	783.9517	0.89	0.28%	49.17	0.67	61.5528
SH689009	九号公司	34.58	-0.5	-1.43%	13.41%	6058.6189	0.5	0.34%	57.507	0	247.0546142
SH688183	生益电子	10.31	-0.15	-1.43%	10.74%	3448.7654	0.66	1.08%	36.621	1.552	85.76076314
SH688081	兴图新科	22.13	-0.32	-1.43%	33.64%	2239.3319	0.45	2.02%	亏损	0	16.28768
SH688270	臻镭科技	75.86	-1.11	-1.44%	-34.59%	6519.7227	0.82	1.38%	76.675	0.395	82.846706
SH688050	爱博医疗	221.45	-3.25	-1.45%	-4.01%	23370.5225	1.34	1.50%	92.279	0.23	232.9138287
SH688500	ST慧辰	14.98	-0.22	-1.45%	-36.79%	2982.164	0.53	4.63%	亏损	0	11.1263216
SH688697	纽威数控	24.77	-0.37	-1.47%	8.59%	8103.5171	0.75	4.19%	28.788	1.615	80.91534159
SH688377	迪威尔	25.97	-0.39	-1.48%	-40.95%	1070.3385	0.69	0.38%	41.61	0.616	50.5550199
SH688113	联测科技	46.5	-0.7	-1.48%	11.48%	294.5301	1.02	0.18%	42.427	0.413	29.6205
SH688090	瑞松科技	27.97	-0.42	-1.48%	14.63%	2179.1738	1.05	1.50%	亏损	0.465	18.84075646
SH688529	豪森股份	23.76	-0.36	-1.49%	7.17%	2539.5061	1.02	2.26%	33.398	0.467	30.4128
SH688203	海正生材	13.88	-0.21	-1.49%	-10.89%	1198.7937	0.96	1.77%	68.192	0.504	28.13171584
SH688021	奥福环保	25.49	-0.39	-1.51%	1.92%	2772.437	0.95	1.38%	亏损	0	19.69958556
SH688281	华秦科技	262.88	-4.08	-1.53%	-7.76%	3466.9849	1.01	0.58%	67.678	0.137	245.3546737
SH688146	中船特气	43.24	-0.68	-1.55%	19.61%	27933.0536	0.76	10.80%	60.805		228.9176472
SH688165	埃夫特	9.42	-0.15	-1.57%	22.34%	1318.4572	0.65	0.43%	亏损	0	49.151676
SH688005	容百科技	66.02	-1.07	-1.59%	-3.97%	20706.8978	0.9	1.12%	21.708	0.457	297.7572641
SH688598	金博股份	159.9	-2.58	-1.59%	-27.15%	5946.5924	0.5	0.47%	32.243	0.156	150.4244331
SH688621	阳光诺和	61.65	-1	-1.60%	-15.12%	3612.5782	0.88	0.84%	40.5	0.696	69.048
SH688114	华大智造	75.05	-1.23	-1.61%	-32.45%	4518.8149	1	1.78%	20.329	0.478	311.9360368
SH688291	金橙子	26.66	-0.44	-1.62%	1.91%	2228.7688	1.15	3.40%	67.499	0.75	27.37094222
SH688018	乐鑫科技	129.85	-2.15	-1.63%	44.04%	21624.0277	1.12	2.05%	104.247	0	104.8294723
SH688502	茂莱光学	188.52	-3.13	-1.63%	170.40%	15206.3175	0.65	6.70%	168.391	0.371	99.53856
SH688659	元琛科技	13.79	-0.23	-1.64%	-19.50%	25867.2929	1.36	21.07%	483.489	0	22.064
SH688023	安恒信息	180	-3.04	-1.66%	-9.09%	18720.9837	1.39	1.31%	亏损	0	141.887511
SH688046	药康生物	20.7	-0.35	-1.66%	-13.93%	4353.9931	1.89	1.42%	51.321	0.198	84.87
SH688588	凌志软件	14.85	-0.25	-1.66%	46.31%	5670.4455	0.65	1.30%	40.859	1.347	59.40148545
SH688188	柏楚电子	197.28	-3.38	-1.68%	-9.12%	10539.6587	0.73	0.36%	56.596	0.573	287.9790361
SH688308	欧科亿	50.71	-0.87	-1.69%	-32.83%	3694.8612	0.62	1.10%	23.329	1.38	57.10772877
SH688271	联影医疗	143.03	-2.52	-1.73%	-19.18%	11556.2751	1.03	1.61%	70.183	0.141	1178.79317
SH688227	品高股份	23.26	-0.41	-1.73%	18.49%	3076.9988	0.79	2.11%	58.616	0.537	26.29665697
SH688070	纵横股份	40.59	-0.72	-1.74%	-3.97%	771.0998	0.89	0.49%	亏损	0	35.548722
SH688568	中科星图	71.68	-1.27	-1.74%	15.54%	9292.1837	0.71	0.98%	70.652	0.279	175.8029099
